Date	AtrStop	BuyStop	SellStop
2025-11-27T12:00:00.0000000	3002.17424938596		3002.17424938596
2025-11-27T12:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T13:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T13:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T14:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T14:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T15:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T15:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T16:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T16:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T17:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T17:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T18:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T18:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T19:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T19:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T20:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T20:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T21:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T21:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T22:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T22:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T23:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-27T23:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T00:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T00:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T01:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T01:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T02:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T02:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T03:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T03:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T04:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T04:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T05:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T05:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T06:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T06:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T07:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T07:30:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T08:00:00.0000000	3039.38849054325	3039.38849054325	
2025-11-28T08:30:00.0000000	3017.64436187962		3017.64436187962
2025-11-28T09:00:00.0000000	3017.94701131393		3017.94701131393
2025-11-28T09:30:00.0000000	3017.94701131393		3017.94701131393
2025-11-28T10:00:00.0000000	3017.94701131393		3017.94701131393
2025-11-28T10:30:00.0000000	3019.45390244158		3019.45390244158
2025-11-28T11:00:00.0000000	3019.45390244158		3019.45390244158
2025-11-28T11:30:00.0000000	3019.45390244158		3019.45390244158
2025-11-28T12:00:00.0000000	3019.45390244158		3019.45390244158
2025-11-28T12:30:00.0000000	3019.45390244158		3019.45390244158
2025-11-28T13:00:00.0000000	3019.45390244158		3019.45390244158
2025-11-28T13:30:00.0000000	3027.81027157636		3027.81027157636
2025-11-28T14:00:00.0000000	3040.73835388225		3040.73835388225
2025-11-28T14:30:00.0000000	3040.73835388225		3040.73835388225
2025-11-28T15:00:00.0000000	3040.73835388225		3040.73835388225
2025-11-28T15:30:00.0000000	3040.73835388225		3040.73835388225
2025-11-28T16:00:00.0000000	3091.97450639826	3091.97450639826	
2025-11-28T16:30:00.0000000	3082.70905371263	3082.70905371263	
2025-11-28T17:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T17:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T18:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T18:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T19:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T19:30:00.0000000	3075.30862258346	3075.30862258346	
