Date	Open	High	Low	Close	Volume
2025-12-24T00:00:00.0000000	2964.50000000	2967.90000000	2956.30000000	2958.40000000	18.11970000
2025-12-23T23:30:00.0000000	2959.60000000	2971.20000000	2959.60000000	2966.10000000	3.67640000
2025-12-23T23:00:00.0000000	2959.00000000	2959.00000000	2953.90000000	2958.20000000	4.50130000
2025-12-23T22:30:00.0000000	2959.90000000	2964.50000000	2950.30000000	2955.30000000	828.83310000
2025-12-23T22:00:00.0000000	2973.10000000	2977.10000000	2956.30000000	2961.00000000	3.84780000
2025-12-23T21:30:00.0000000	2970.70000000	2973.90000000	2968.40000000	2971.70000000	2.02930000
2025-12-23T21:00:00.0000000	2970.80000000	2974.10000000	2960.30000000	2970.70000000	17.84530000
2025-12-23T20:30:00.0000000	2955.80000000	2986.20000000	2953.50000000	2968.90000000	5.41870000
2025-12-23T20:00:00.0000000	2942.60000000	2958.30000000	2942.60000000	2955.10000000	0.36920000
2025-12-23T19:30:00.0000000	2932.30000000	2941.20000000	2930.70000000	2941.20000000	1.32620000
2025-12-23T19:00:00.0000000	2946.50000000	2952.20000000	2935.50000000	2936.60000000	2.63700000
2025-12-23T18:30:00.0000000	2938.90000000	2950.60000000	2938.90000000	2947.10000000	1.87680000
2025-12-23T18:00:00.0000000	2913.80000000	2938.20000000	2911.10000000	2936.40000000	2.71650000
2025-12-23T17:30:00.0000000	2943.60000000	2946.50000000	2917.30000000	2918.70000000	1.56470000
2025-12-23T17:00:00.0000000	2957.60000000	2960.30000000	2943.00000000	2943.00000000	1.28690000
2025-12-23T16:30:00.0000000	2958.50000000	2962.70000000	2946.20000000	2956.20000000	86.88290000
2025-12-23T16:00:00.0000000	2922.60000000	2964.70000000	2922.60000000	2955.50000000	6.64170000
2025-12-23T15:30:00.0000000	2925.60000000	2929.60000000	2917.80000000	2927.90000000	5.96890000
2025-12-23T15:00:00.0000000	2916.30000000	2926.90000000	2906.50000000	2924.90000000	11.80280000
2025-12-23T14:30:00.0000000	2942.50000000	2950.40000000	2905.00000000	2914.50000000	7.38780000
2025-12-23T14:00:00.0000000	2940.90000000	2950.70000000	2936.50000000	2943.50000000	1.78640000
2025-12-23T13:30:00.0000000	2958.10000000	2961.20000000	2934.00000000	2941.00000000	4.95480000
2025-12-23T13:00:00.0000000	2953.60000000	2960.90000000	2953.60000000	2956.50000000	3.84380000
2025-12-23T12:30:00.0000000	2957.80000000	2963.40000000	2954.40000000	2957.60000000	4.76260000
2025-12-23T12:00:00.0000000	2972.30000000	2972.50000000	2956.60000000	2957.20000000	17.87940000
2025-12-23T11:30:00.0000000	2969.30000000	2972.70000000	2967.80000000	2972.60000000	14.18660000
2025-12-23T11:00:00.0000000	2966.30000000	2973.60000000	2963.60000000	2969.70000000	4.38120000
2025-12-23T10:30:00.0000000	2968.10000000	2970.30000000	2965.30000000	2966.00000000	2.43280000
2025-12-23T10:00:00.0000000	2963.50000000	2970.00000000	2962.90000000	2968.20000000	2.31110000
2025-12-23T09:30:00.0000000	2959.20000000	2965.20000000	2956.60000000	2962.90000000	1.89070000
2025-12-23T09:00:00.0000000	2960.40000000	2965.10000000	2953.00000000	2958.60000000	2.29780000
2025-12-23T08:30:00.0000000	2967.30000000	2971.00000000	2959.40000000	2960.40000000	1.37880000
2025-12-23T08:00:00.0000000	2965.30000000	2969.10000000	2961.90000000	2966.80000000	3.80330000
2025-12-23T07:30:00.0000000	2965.10000000	2968.90000000	2963.30000000	2965.50000000	1.57770000
2025-12-23T07:00:00.0000000	2958.40000000	2964.60000000	2955.60000000	2964.60000000	8.83090000
2025-12-23T06:30:00.0000000	2952.30000000	2962.90000000	2948.10000000	2959.80000000	2.84870000
2025-12-23T06:00:00.0000000	2973.20000000	2977.70000000	2945.80000000	2951.70000000	5.64260000
2025-12-23T05:30:00.0000000	2973.40000000	2975.70000000	2966.30000000	2975.70000000	3.20090000
2025-12-23T05:00:00.0000000	2983.70000000	2984.70000000	2977.30000000	2982.40000000	2.50990000
2025-12-23T04:30:00.0000000	2994.00000000	2994.50000000	2982.60000000	2985.30000000	9.77670000
2025-12-23T04:00:00.0000000	2991.00000000	2996.80000000	2986.40000000	2994.40000000	0.48190000
2025-12-23T03:30:00.0000000	2993.00000000	2998.90000000	2990.90000000	2993.20000000	2.04440000
2025-12-23T03:00:00.0000000	2990.00000000	2995.70000000	2973.80000000	2992.10000000	3.79930000
2025-12-23T02:30:00.0000000	3015.50000000	3015.50000000	2989.60000000	2989.60000000	5.22490000
2025-12-23T02:00:00.0000000	3013.60000000	3023.60000000	3010.40000000	3012.50000000	3.42020000
2025-12-23T01:30:00.0000000	3020.70000000	3025.80000000	3016.80000000	3018.20000000	2.70680000
2025-12-23T01:00:00.0000000	3027.20000000	3030.50000000	3019.40000000	3020.90000000	1.67840000
2025-12-23T00:30:00.0000000	3018.10000000	3031.60000000	3016.90000000	3027.80000000	2.92620000
2025-12-23T00:00:00.0000000	3007.10000000	3023.00000000	3006.10000000	3020.40000000	1.63900000
2025-12-22T23:30:00.0000000	3010.30000000	3010.40000000	3001.70000000	3005.70000000	2.62870000
2025-12-22T23:00:00.0000000	3009.40000000	3011.10000000	3003.90000000	3010.40000000	2.04700000
2025-12-22T22:30:00.0000000	2991.90000000	3011.40000000	2988.80000000	3011.40000000	3.50560000
2025-12-22T22:00:00.0000000	2987.80000000	2992.70000000	2983.80000000	2991.20000000	1.13420000
2025-12-22T21:30:00.0000000	2993.60000000	2997.20000000	2987.20000000	2987.20000000	1.06760000
2025-12-22T21:00:00.0000000	2977.60000000	2992.90000000	2977.00000000	2992.60000000	0.54950000
2025-12-22T20:30:00.0000000	2972.00000000	2982.40000000	2970.50000000	2977.00000000	1.46920000
2025-12-22T20:00:00.0000000	2978.40000000	2985.40000000	2964.50000000	2971.00000000	5.83260000
2025-12-22T19:30:00.0000000	2987.70000000	2993.80000000	2976.20000000	2976.70000000	3.28100000
2025-12-22T19:00:00.0000000	3014.80000000	3015.50000000	2986.30000000	2988.60000000	6.21990000
2025-12-22T18:30:00.0000000	3033.20000000	3033.20000000	3009.70000000	3014.10000000	3.84690000
2025-12-22T18:00:00.0000000	3032.30000000	3038.80000000	3022.90000000	3030.60000000	3.22510000
2025-12-22T17:30:00.0000000	3031.90000000	3034.80000000	3026.10000000	3032.20000000	2.42520000
2025-12-22T17:00:00.0000000	3043.50000000	3043.50000000	3024.40000000	3032.90000000	1.86580000
2025-12-22T16:30:00.0000000	3055.40000000	3055.90000000	3039.70000000	3039.70000000	14.03410000
